Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,0.653,U,6,7,1990
CAN_polish,0.669,U,6,7,1990
CAN_polish,0.673,U,6,7,1990
CAN_polish,0.689,U,6,7,1990
CAN_polish,0.695,U,6,7,1990
CAN_polish,0.697,U,6,7,1990
CAN_polish,0.739,U,6,7,1990
CAN_polish,0.755,U,6,7,1990
CAN_polish,0.767,U,6,7,1990
CAN_polish,0.79,U,6,7,1990
CAN_polish,0.82,U,6,7,1990
CAN_polish,0.823,U,6,7,1990
CAN_polish,0.971,U,6,7,1990
CAN_polish,1.031,U,6,7,1990
CAN_polish,0.534,U,7,7,1990
CAN_polish,0.797,U,7,7,1990
CAN_polish,0.536,U,10,7,1990
CAN_polish,0.616,U,10,7,1990
CAN_polish,0.629,U,10,7,1990
CAN_polish,0.633,U,10,7,1990
CAN_polish,0.647,U,10,7,1990
CAN_polish,0.655,U,10,7,1990
CAN_polish,0.662,U,10,7,1990
CAN_polish,0.688,U,10,7,1990
CAN_polish,0.692,U,10,7,1990
CAN_polish,0.696,U,10,7,1990
CAN_polish,0.705,U,10,7,1990
CAN_polish,0.715,U,10,7,1990
CAN_polish,0.721,U,10,7,1990
CAN_polish,0.757,U,10,7,1990
CAN_polish,0.79,U,10,7,1990
CAN_polish,0.802,U,10,7,1990
CAN_polish,0.807,U,10,7,1990
CAN_polish,0.824,U,10,7,1990
CAN_polish,0.828,U,10,7,1990
CAN_polish,0.829,U,10,7,1990
CAN_polish,0.856,U,10,7,1990
CAN_polish,0.911,U,10,7,1990
CAN_polish,0.936,U,10,7,1990
CAN_polish,1.041,U,10,7,1990
CAN_polish,0.863,U,13,7,1990
CAN_shoreside,0.621,U,4,6,2002
CAN_shoreside,0.735,U,4,6,2002
CAN_shoreside,0.742,U,4,6,2002
CAN_shoreside,0.851,U,4,6,2002
CAN_shoreside,0.879,U,4,6,2002
CAN_shoreside,0.888,U,4,6,2002
CAN_shoreside,0.959,U,4,6,2002
CAN_shoreside,1.041,U,4,6,2002
CAN_shoreside,0.714,U,5,6,2002
CAN_shoreside,0.747,U,5,6,2002
CAN_shoreside,0.769,U,5,6,2002
CAN_shoreside,0.773,U,5,6,2002
CAN_shoreside,0.845,U,5,6,2002
CAN_shoreside,0.885,U,5,6,2002
CAN_shoreside,0.892,U,5,6,2002
CAN_shoreside,0.893,U,5,6,2002
CAN_shoreside,0.904,U,5,6,2002
CAN_shoreside,0.905,U,5,6,2002
CAN_shoreside,0.908,U,5,6,2002
CAN_shoreside,0.918,U,5,6,2002
CAN_shoreside,0.956,U,5,6,2002
CAN_shoreside,0.969,U,5,6,2002
CAN_shoreside,0.984,U,5,6,2002
CAN_shoreside,0.992,U,5,6,2002
CAN_shoreside,1.001,U,5,6,2002
CAN_shoreside,1.005,U,5,6,2002
CAN_shoreside,1.01,U,5,6,2002
CAN_shoreside,1.035,U,5,6,2002
CAN_shoreside,1.075,U,5,6,2002
CAN_shoreside,1.077,U,5,6,2002
CAN_shoreside,1.077,U,5,6,2002
CAN_shoreside,1.09,U,5,6,2002
CAN_shoreside,1.093,U,5,6,2002
CAN_shoreside,1.097,U,5,6,2002
CAN_shoreside,1.108,U,5,6,2002
CAN_shoreside,1.149,U,5,6,2002
CAN_shoreside,1.185,U,5,6,2002
CAN_shoreside,1.19,U,5,6,2002
CAN_shoreside,0.764,U,6,6,2002
CAN_shoreside,0.837,U,6,6,2002
CAN_shoreside,1.115,U,6,6,2002
CAN_shoreside,0.891,U,7,6,2002
CAN_shoreside,0.96,U,7,6,2002
CAN_shoreside,0.981,U,7,6,2002
CAN_shoreside,1.021,U,7,6,2002
CAN_shoreside,1.076,U,7,6,2002
CAN_shoreside,1.153,U,7,6,2002
CAN_shoreside,1.168,U,7,6,2002
CAN_shoreside,1.487,U,7,6,2002
CAN_shoreside,0.777,U,8,6,2002
CAN_shoreside,0.825,U,8,6,2002
CAN_shoreside,0.938,U,8,6,2002
CAN_shoreside,0.943,U,8,6,2002
CAN_shoreside,0.965,U,8,6,2002
CAN_shoreside,0.969,U,8,6,2002
CAN_shoreside,0.975,U,8,6,2002
CAN_shoreside,1.013,U,8,6,2002
CAN_shoreside,1.02,U,8,6,2002
CAN_shoreside,1.053,U,8,6,2002
CAN_shoreside,1.063,U,8,6,2002
